State,epsilon,true_mean,true_median,true_stdev,dp_mean_laplace,dp_median_laplace,dp_stdev_laplace,dp_mean_gaussian,dp_median_gaussian,dp_stdev_gaussian,abs_err_mean_lap,abs_err_median_lap,abs_err_stdev_lap,abs_err_mean_gauss,abs_err_median_gauss,abs_err_stdev_gauss
Alabama,0.1,53549.83745717548,39615.5,42014.471830985916,54408.79871110849,39822.45596006928,41745.9322977207,55566.57354691696,39939.975686004786,39538.318296149875,858.9612539330046,206.955960069281,268.5395332652188,2016.7360897414765,324.47568600478553,2476.153534836041
Alaska,0.1,73461.35639810427,67904.0,48921.791469194315,73771.60346137975,68638.7995033366,48364.26671254743,77041.66085288532,83002.89896095484,47798.86932114591,310.24706327548483,734.7995033366024,557.5247566468825,3580.304454781057,15098.898960954844,1122.9221480484048
Arizona,0.1,62840.83979244365,48840.0,43943.43197664991,62598.506628709416,48594.36402440019,44182.92706620742,63138.7069694751,47888.47016536642,42297.166056704,242.3331637342344,245.6359755998128,239.49508955750935,297.8671770314468,951.5298346335767,1646.2659199459085
Arkansas,0.1,51109.237562555194,37790.0,40652.412717103325,51237.21268066398,37186.27306032627,41481.50988028649,52223.20882623207,38200.06149259187,40568.27285815833,127.97511810878495,603.726939673732,829.0971631831635,1113.9712636768745,410.0614925918708,84.13985894499638
California,0.1,78650.14139350511,65296.0,53898.916542155814,78601.49867527359,65268.036797610286,53913.45934848904,78386.1445735105,65507.97687500955,53835.19198179909,48.64271823152376,27.963202389713842,14.542806333229237,263.9968199946161,211.97687500955362,63.72456035672076
Colorado,0.1,74432.32472464869,61567.0,49993.99240410179,73716.38224788108,61713.497382956404,49610.750046875844,77380.78375376476,61530.70048114351,52432.689887404216,715.9424767676101,146.49738295640418,383.2423572259431,2948.459029116071,36.29951885648916,2438.6974833024287
Connecticut,0.1,88084.28671721427,79490.0,57656.458298230835,88100.45043136504,79854.30251924248,57137.178342644715,92113.13567314197,86332.807418266,59645.38039843155,16.16371415076719,364.30251924248296,519.2799555861202,4028.848955927693,6842.807418266006,1988.922100200718
Delaware,0.1,73794.47591743119,59351.0,51592.26834862385,75874.54338020725,56400.88585891277,50193.874934909545,72758.6184895098,79370.069151394,51612.11486393756,2080.06746277606,2950.1141410872297,1398.3934137143078,1035.8574279213935,20019.069151393996,19.84651531370764
District of Columbia,0.1,91846.43492063491,75776.5,62716.184126984124,103955.65947801336,70230.59635270406,63050.17929802353,93307.5016273011,71361.21294428782,45495.41037394309,12109.224557378446,5545.9036472959415,333.9951710394089,1461.0667066661845,4415.287055712179,17220.773753041038
Florida,0.1,61724.72185111633,46591.0,46013.25010531383,61696.9781036584,46352.04224133585,46108.62732157695,62359.593455098715,47186.011133414715,46552.58343115878,27.743747457927384,238.95775866415352,95.37721626311395,634.8716039823848,595.011133414715,539.3333258449493
Georgia,0.1,60445.872205253516,44089.0,45191.57617593158,60043.367397484755,44040.34336590704,45179.98893093665,61923.652980209656,42027.83308861883,43906.02342355716,402.50480776876066,48.656634092956665,11.587244994931098,1477.7807749561398,2061.166911381173,1285.5527523744167
Hawaii,0.1,78819.7327523602,70749.0,52318.05591866376,78774.9546452837,78242.66637476442,51634.79227866245,89057.60279420353,62724.132238879545,45375.378813311225,44.778107076504966,7493.66637476442,683.2636400013143,10237.87004184333,8024.867761120455,6942.677105352537
Idaho,0.1,56377.80990629183,45317.5,41945.33266398929,55652.15803333692,40831.080056517756,45162.897144056355,58170.893132059726,35046.12844629506,41502.784383198705,725.6518729549134,4486.419943482244,3217.5644800670634,1793.0832257678921,10271.371553704943,442.54828079058643
Illinois,0.1,69947.43727298127,55841.0,48945.17700474993,69916.6799955766,56076.97168735094,48557.70110735931,70541.09113233538,56490.57268338645,48421.12091451811,30.757277404671186,235.97168735093874,387.47589739062096,593.6538593541045,649.5726833864464,524.0560902318175
Indiana,0.1,58199.19086900868,47864.0,41537.10339923197,57981.879329677635,47773.57960824915,41543.782498094115,56738.71740433668,48665.434670102244,45048.88523435182,217.3115393310436,90.42039175084938,6.679098862143292,1460.4734646719953,801.4346701022441,3511.781835119851
Iowa,0.1,61412.062403528114,51400.0,43846.59073869901,61146.227246684226,52188.0212352669,43465.39206736389,59945.425065176605,49749.14584579216,45187.55695915388,265.8351568438884,788.0212352668968,381.19867133511434,1466.6373383515092,1650.8541542078383,1340.966220454873
Kansas,0.1,60683.55727391874,48494.0,42323.00917431193,59567.56569353274,48979.07583598756,40803.520851756024,58229.70831428519,50766.01333833681,43059.73323636224,1115.9915803859985,485.07583598756173,1519.4883225559024,2453.8489596335494,2272.0133383368084,736.7240620503144
Kentucky,0.1,55199.07072335281,40887.0,42072.66512190208,54374.12216133965,38522.411194815555,41381.40637151798,54306.37777730826,42270.27198572842,38682.89117731131,824.94856201316,2364.588805184445,691.2587503840987,892.6929460445463,1383.2719857284173,3389.773944590772
Louisiana,0.1,56549.06440877056,41661.0,45400.669929522315,56714.209496618954,41826.526401906325,45135.99261861739,57130.50561161352,42955.03003050078,44283.34824498729,165.14508784839563,165.5264019063252,264.6773109049245,581.4412028429579,1294.0300305007768,1117.3216845350253
Maine,0.1,60176.52541296061,47477.0,46066.034942820836,55999.97857935797,48556.15780472953,46030.00515126666,64562.29403881588,37901.3123253439,55262.257367877864,4176.546833602639,1079.1578047295334,36.02979155417415,4385.768625855271,9575.687674656103,9196.222425057029
Maryland,0.1,87913.69387058221,79395.0,55087.99453645211,88144.99033685825,79117.4192355095,54999.114277149565,87016.1270919088,79532.3010770838,54409.874366660355,231.29646627603506,277.58076449049986,88.88025930254662,897.566778673412,137.30107708380092,678.1201697917568
Massachusetts,0.1,84740.10655737705,74480.0,57614.56780923994,85311.12951461252,74707.84883299196,57535.76886507519,85334.80989435005,73256.99586308486,57582.87068390291,571.0229572354729,227.84883299196372,78.79894416475145,594.7033369730052,1223.004136915144,31.69712533702841
Michigan,0.1,59765.45665133708,46981.0,43122.64699369784,59871.07027031013,47454.79949308129,43397.40651157303,59164.80290288642,47648.743581982526,43091.69320646601,105.61361897304596,473.7994930812929,274.75951787518716,600.6537484506625,667.7435819825259,30.953787231832393
Minnesota,0.1,71721.56747891284,58436.0,49248.96501093408,71466.71022620748,57438.073836841286,49153.050855689195,72961.27336195573,58742.14944273472,47538.38728296043,254.85725270536204,997.9261631587142,95.91415524488548,1239.7058830428869,306.14944273472065,1710.5777279736503
